Framework,Subject ID,surf_type,Hemisphere,Metric,Label,Score,Total Triangles
cortexode,204420,pial,rh,Hausdorff Distance,,5.132478952721593,
cortexode,204420,pial,rh,Self-Intersections (SIF),,1104,197421
cortexode,208024,pial,rh,Chamfer Distance,,0.907023711959265,
cortexode,208024,pial,rh,Hausdorff Distance,,4.7751020963214215,
cortexode,208024,pial,rh,Self-Intersections (SIF),,2853,199185
cortexode,210415,pial,rh,Chamfer Distance,,0.9363361053834691,
cortexode,210415,pial,rh,Hausdorff Distance,,5.838450677999168,
cortexode,210415,pial,rh,Self-Intersections (SIF),,2899,197680
cortexode,224022,pial,rh,Chamfer Distance,,0.8919560241580319,
cortexode,224022,pial,rh,Hausdorff Distance,,7.0066955372968405,
cortexode,224022,pial,rh,Self-Intersections (SIF),,1071,196725
cortexode,211316,pial,rh,Chamfer Distance,,0.9079465197290573,
cortexode,211316,pial,rh,Hausdorff Distance,,5.218260813807993,
cortexode,211316,pial,rh,Self-Intersections (SIF),,1461,196391
cortexode,201818,pial,rh,Chamfer Distance,,0.8824416455753792,
cortexode,201818,pial,rh,Hausdorff Distance,,6.049149174035311,
cortexode,201818,pial,rh,Self-Intersections (SIF),,3227,202313
cortexode,204521,pial,rh,Chamfer Distance,,0.8979350155517625,
cortexode,204521,pial,rh,Hausdorff Distance,,6.47222671452843,
cortexode,204521,pial,rh,Self-Intersections (SIF),,1502,199395
cortexode,209329,pial,rh,Chamfer Distance,,0.9586041071839522,
cortexode,209329,pial,rh,Hausdorff Distance,,8.239329816490974,
cortexode,209329,pial,rh,Self-Intersections (SIF),,1937,203605
cortexode,209834,pial,rh,Chamfer Distance,,0.944879430238563,
cortexode,209834,pial,rh,Hausdorff Distance,,7.019295943942741,
cortexode,209834,pial,rh,Self-Intersections (SIF),,2992,202844
cortexode,255639,pial,rh,Chamfer Distance,,0.924198413946129,
cortexode,255639,pial,rh,Hausdorff Distance,,5.797010330114874,
cortexode,255639,pial,rh,Self-Intersections (SIF),,986,201734
cortexode,221319,pial,rh,Chamfer Distance,,0.9153742834090295,
cortexode,221319,pial,rh,Hausdorff Distance,,3.867786117010765,
cortexode,221319,pial,rh,Self-Intersections (SIF),,1487,210711
cortexode,212318,pial,rh,Chamfer Distance,,0.8728661663890283,
cortexode,212318,pial,rh,Hausdorff Distance,,5.890771488200665,
cortexode,212318,pial,rh,Self-Intersections (SIF),,1257,211070
cortexode,246133,pial,rh,Chamfer Distance,,0.9002703761704709,
cortexode,246133,pial,rh,Hausdorff Distance,,5.090607652414257,
cortexode,246133,pial,rh,Self-Intersections (SIF),,949,209794
cortexode,203721,pial,rh,Chamfer Distance,,0.9761876591682155,
cortexode,203721,pial,rh,Hausdorff Distance,,4.68170025169316,
