Framework,Subject ID,surf_type,Hemisphere,Metric,Label,Score,Total Triangles
csrf,263436,pial,lh,Hausdorff Distance,,4.779622323035935,
csrf,212116,pial,lh,Hausdorff Distance,,5.616338010875547,
csrf,202719,pial,lh,Chamfer Distance,,0.8609349139444431,
csrf,248339,pial,lh,Chamfer Distance,,0.8995585038660563,
csrf,201515,pial,lh,Chamfer Distance,,0.9598419276415877,
csrf,200311,pial,lh,Chamfer Distance,,0.9404174820931219,
csrf,211114,pial,lh,Chamfer Distance,,0.899267532805793,
csrf,210011,pial,lh,Chamfer Distance,,0.8644820650536797,
csrf,257845,pial,lh,Chamfer Distance,,0.869128005635472,
csrf,200109,pial,lh,Chamfer Distance,,0.8980541277358829,
csrf,201515,pial,lh,Hausdorff Distance,,12.206556279212252,
csrf,209935,pial,lh,Chamfer Distance,,0.8850744665252364,
csrf,200311,pial,lh,Hausdorff Distance,,5.816047010822653,
csrf,209228,pial,lh,Chamfer Distance,,0.8652325067933901,
csrf,210011,pial,lh,Hausdorff Distance,,6.605561283896367,
csrf,204016,pial,lh,Hausdorff Distance,,5.0355663343619925,
csrf,200109,pial,lh,Hausdorff Distance,,5.119618842096742,
csrf,212823,pial,lh,Chamfer Distance,,0.9071310804016519,
csrf,214524,pial,lh,Chamfer Distance,,0.8653528207647982,
csrf,214726,pial,lh,Chamfer Distance,,0.8853904969472257,
csrf,213421,pial,lh,Chamfer Distance,,0.889516736640044,
csrf,209228,pial,lh,Hausdorff Distance,,4.2519567753770495,
csrf,220721,pial,lh,Chamfer Distance,,0.8642782824443325,
csrf,212015,pial,lh,Chamfer Distance,,0.8861156675762887,
csrf,233326,pial,lh,Chamfer Distance,,0.8593310077087843,
csrf,207426,pial,lh,Hausdorff Distance,,5.5591602872161054,
csrf,204319,pial,lh,Chamfer Distance,,0.8629218431144273,
csrf,205119,pial,lh,Chamfer Distance,,0.8785798882663025,
csrf,209228,pial,lh,Self-Intersections (SIF),,-1,237776
csrf,251833,pial,lh,Chamfer Distance,,0.864230504546707,
csrf,211922,pial,lh,Hausdorff Distance,,4.102464710363545,
csrf,220721,pial,lh,Hausdorff Distance,,4.3896734193752955,
csrf,231928,pial,lh,Hausdorff Distance,,4.608930533307891,
csrf,205826,pial,lh,Chamfer Distance,,0.9143959466797784,
csrf,201717,pial,lh,Chamfer Distance,,0.858920450297972,
csrf,233326,pial,lh,Hausdorff Distance,,6.539124282262991,
csrf,214423,pial,lh,Chamfer Distance,,0.8891018345961322,
csrf,202113,pial,lh,Chamfer Distance,,0.9877691800027129,
csrf,212419,pial,lh,Hausdorff Distance,,4.120485747795021,
csrf,220721,pial,lh,Self-Intersections (SIF),,-1,246055
csrf,208327,pial,lh,Chamfer Distance,,0.8459331140487343,
csrf,231928,pial,lh,Self-Intersections (SIF),,-1,216218
csrf,211215,pial,lh,Chamfer Distance,,0.854269484385004,
csrf,202113,pial,lh,Hausdorff Distance,,4.654073318041423,
csrf,201111,pial,lh,Chamfer Distance,,0.8805934423510087,
csrf,233326,pial,lh,Self-Intersections (SIF),,-1,256867
csrf,207123,pial,lh,Chamfer Distance,,0.8988972369330727,
csrf,211720,pial,lh,Chamfer Distance,,0.8723791079727888,
csrf,212419,pial,lh,Self-Intersections (SIF),,-1,228991
csrf,268749,pial,lh,Chamfer Distance,,0.8883792817058564,
csrf,211215,pial,lh,Hausdorff Distance,,5.336439205513916,
csrf,200210,pial,lh,Chamfer Distance,,0.9264586650140588,
csrf,201111,pial,lh,Hausdorff Distance,,5.623154833800443,
csrf,209127,pial,lh,Self-Intersections (SIF),,-1,219392
csrf,206222,pial,lh,Chamfer Distance,,0.8990416869320543,
csrf,208428,pial,rh,Chamfer Distance,,0.8647075113778273,
csrf,270332,pial,lh,Chamfer Distance,,0.8659877945192721,
csrf,211215,pial,lh,Self-Intersections (SIF),,-1,279470
csrf,221218,pial,lh,Self-Intersections (SIF),,-1,212539
csrf,256540,pial,lh,Self-Intersections (SIF),,-1,215772
csrf,207628,pial,lh,Hausdorff Distance,,5.285074185636644,
csrf,223929,pial,lh,Chamfer Distance,,0.8693038507897424,
csrf,203923,pial,lh,Hausdorff Distance,,4.411801281278829,
csrf,203721,pial,lh,Self-Intersections (SIF),,-1,207587
csrf,211417,pial,lh,Hausdorff Distance,,5.344210314372823,
csrf,227432,pial,lh,Hausdorff Distance,,5.088024168492259,
csrf,201414,pial,lh,Self-Intersections (SIF),,-1,215418
csrf,284646,pial,lh,Hausdorff Distance,,5.325482633428689,
csrf,223929,pial,lh,Hausdorff Distance,,6.075850865461971,
csrf,257542,pial,lh,Hausdorff Distance,,6.764045442318258,
csrf,236130,pial,lh,Self-Intersections (SIF),,-1,232124
csrf,211316,pial,rh,Chamfer Distance,,0.8911855780127313,
csrf,211417,pial,lh,Self-Intersections (SIF),,-1,225936
csrf,224022,pial,rh,Chamfer Distance,,0.8850657932259907,
csrf,208024,pial,rh,Chamfer Distance,,0.8856339586414026,
csrf,284646,pial,lh,Self-Intersections (SIF),,-1,231565
csrf,205725,pial,rh,Chamfer Distance,,0.9033734039226178,
csrf,211316,pial,rh,Hausdorff Distance,,5.041079269465034,
csrf,212318,pial,rh,Chamfer Distance,,0.8698860764041362,
csrf,200917,pial,lh,Hausdorff Distance,,9.417206462337385,
csrf,224022,pial,rh,Hausdorff Distance,,6.846548908687873,
csrf,208226,pial,lh,Self-Intersections (SIF),,-1,218852
csrf,237334,pial,rh,Chamfer Distance,,0.8834557039449445,
csrf,208024,pial,rh,Hausdorff Distance,,4.4246073323647614,
csrf,200614,pial,lh,Self-Intersections (SIF),,-1,229316
csrf,204420,pial,rh,Hausdorff Distance,,5.149235782598581,
csrf,221319,pial,rh,Hausdorff Distance,,4.172443613364283,
