Framework,Case,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
csrp,separate,208428,gm,lh,4,100,Hausdorff Distance,,6.752297658352387,
csrp,separate,208428,gm,lh,4,100,Self-Intersections (SIF),,7640,192996
csrp,separate,207628,gm,lh,4,100,Chamfer Distance,,4.872693435575785,
csrp,separate,207628,gm,lh,4,100,Hausdorff Distance,,7.010362625168516,
csrp,separate,207628,gm,lh,4,100,Self-Intersections (SIF),,7543,280156
csrp,separate,268749,gm,lh,4,100,Chamfer Distance,,5.169101580207869,
csrp,separate,268749,gm,lh,4,100,Hausdorff Distance,,7.351455943088994,
csrp,separate,268749,gm,lh,4,100,Self-Intersections (SIF),,12189,297924
csrp,separate,201515,gm,lh,4,100,Chamfer Distance,,5.650334137753558,
csrp,separate,201515,gm,lh,4,100,Hausdorff Distance,,10.083808410964329,
csrp,separate,201515,gm,lh,4,100,Self-Intersections (SIF),,11247,268628
csrp,separate,209329,gm,lh,4,100,Chamfer Distance,,5.2302430821360115,
csrp,separate,209329,gm,lh,4,100,Hausdorff Distance,,7.430654592045693,
csrp,separate,209329,gm,lh,4,100,Self-Intersections (SIF),,8798,222240
csrp,separate,209834,gm,lh,4,100,Chamfer Distance,,5.022591853615481,
csrp,separate,209834,gm,lh,4,100,Hausdorff Distance,,7.97361241716334,
csrp,separate,209834,gm,lh,4,100,Self-Intersections (SIF),,11400,219812
csrp,separate,270332,gm,lh,4,100,Chamfer Distance,,5.138133604036502,
csrp,separate,270332,gm,lh,4,100,Hausdorff Distance,,6.71730003572652,
csrp,separate,270332,gm,lh,4,100,Self-Intersections (SIF),,10954,314176
csrp,separate,207123,gm,lh,4,100,Chamfer Distance,,4.98915635955254,
csrp,separate,207123,gm,lh,4,100,Hausdorff Distance,,6.301108593488041,
csrp,separate,207123,gm,lh,4,100,Self-Intersections (SIF),,3681,294400
csrp,separate,209127,gm,lh,4,100,Chamfer Distance,,5.422404475602756,
csrp,separate,209127,gm,lh,4,100,Hausdorff Distance,,7.494117389510902,
csrp,separate,209127,gm,lh,4,100,Self-Intersections (SIF),,10146,237040
csrp,separate,209228,gm,lh,4,100,Chamfer Distance,,5.266643631506301,
csrp,separate,209228,gm,lh,4,100,Hausdorff Distance,,6.7209335310308775,
csrp,separate,209228,gm,lh,4,100,Self-Intersections (SIF),,8277,257060
csrp,separate,209935,gm,lh,4,100,Chamfer Distance,,5.418732564860063,
csrp,separate,209935,gm,lh,4,100,Hausdorff Distance,,7.009006648450569,
csrp,separate,209935,gm,lh,4,100,Self-Intersections (SIF),,8142,262668
csrp,separate,210011,gm,lh,4,100,Chamfer Distance,,4.983104493794315,
csrp,separate,210011,gm,lh,4,100,Hausdorff Distance,,6.999668429035374,
csrp,separate,210011,gm,lh,4,100,Self-Intersections (SIF),,3232,263460
csrp,separate,211316,gm,lh,4,100,Chamfer Distance,,5.308158759368787,
csrp,separate,211316,gm,lh,4,100,Hausdorff Distance,,7.267777813761721,
csrp,separate,211316,gm,lh,4,100,Self-Intersections (SIF),,7087,212960
csrp,separate,223929,gm,lh,4,100,Chamfer Distance,,5.124800400794447,
csrp,separate,223929,gm,lh,4,100,Hausdorff Distance,,7.292292581650124,
csrp,separate,223929,gm,lh,4,100,Self-Intersections (SIF),,11662,349592
csrp,separate,212318,gm,lh,4,100,Chamfer Distance,,5.213658086633032,
csrp,separate,212318,gm,lh,4,100,Hausdorff Distance,,6.749038612195463,
csrp,separate,212318,gm,lh,4,100,Self-Intersections (SIF),,3380,226956
csrp,separate,201414,gm,lh,8,50,Chamfer Distance,,5.112107520990273,
csrp,separate,201414,gm,lh,8,50,Hausdorff Distance,,10.11855339621511,
csrp,separate,201414,gm,lh,8,50,Self-Intersections (SIF),,4816,232732
csrp,separate,214019,gm,lh,4,100,Chamfer Distance,,5.307756768079123,
csrp,separate,214019,gm,lh,4,100,Hausdorff Distance,,6.881136925725277,
csrp,separate,214019,gm,lh,4,100,Self-Intersections (SIF),,5988,226788
csrp,separate,214221,gm,lh,4,100,Chamfer Distance,,4.9611038224992905,
csrp,separate,214221,gm,lh,4,100,Hausdorff Distance,,6.895944587139526,
csrp,separate,214221,gm,lh,4,100,Self-Intersections (SIF),,3949,231012
csrp,separate,217429,gm,lh,4,100,Chamfer Distance,,5.295902784407541,
csrp,separate,217429,gm,lh,4,100,Hausdorff Distance,,7.051635483175574,
csrp,separate,217429,gm,lh,4,100,Self-Intersections (SIF),,10722,233192
csrp,separate,210415,gm,lh,4,100,Chamfer Distance,,5.541957433402111,
csrp,separate,210415,gm,lh,4,100,Hausdorff Distance,,8.468007271460039,
csrp,separate,210415,gm,lh,4,100,Self-Intersections (SIF),,10397,216244
csrp,separate,212217,gm,lh,4,100,Chamfer Distance,,5.213871764091723,
csrp,separate,212217,gm,lh,4,100,Hausdorff Distance,,6.556624125396906,
csrp,separate,212217,gm,lh,4,100,Self-Intersections (SIF),,10672,231184
csrp,separate,212116,gm,lh,4,100,Chamfer Distance,,5.2604954493632325,
csrp,separate,212116,gm,lh,4,100,Hausdorff Distance,,8.142290340154533,
csrp,separate,212116,gm,lh,4,100,Self-Intersections (SIF),,8000,240756
csrp,separate,217126,gm,lh,4,100,Chamfer Distance,,5.043841934589805,
