Framework,Case,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
cortexode,,209127,gm,lh,0,90,Chamfer Distance,,5.473592818147635,
cortexode,,209127,gm,lh,0,90,Hausdorff Distance,,7.50798112395417,
cortexode,,209127,gm,lh,0,90,Self-Intersections (SIF),,1248,237040
cortexode,,207628,gm,lh,0,90,Chamfer Distance,,4.895947455621572,
cortexode,,207628,gm,lh,0,90,Hausdorff Distance,,7.081659987335623,
cortexode,,207628,gm,lh,0,90,Self-Intersections (SIF),,597,280156
cortexode,,201717,gm,lh,0,90,Chamfer Distance,,5.169229285016192,
cortexode,,201717,gm,lh,0,90,Hausdorff Distance,,6.504577706382318,
cortexode,,201717,gm,lh,0,90,Self-Intersections (SIF),,902,277080
cortexode,,251833,gm,lh,0,90,Chamfer Distance,,5.3645674626819595,
cortexode,,251833,gm,lh,0,90,Hausdorff Distance,,7.288240085339708,
cortexode,,251833,gm,lh,0,90,Self-Intersections (SIF),,860,283860
cortexode,,201515,gm,lh,0,90,Chamfer Distance,,5.692152867176182,
cortexode,,201515,gm,lh,0,90,Hausdorff Distance,,9.856306268497075,
cortexode,,201515,gm,lh,0,90,Self-Intersections (SIF),,767,268628
cortexode,,207123,gm,lh,0,90,Chamfer Distance,,4.956707170902909,
cortexode,,207123,gm,lh,0,90,Hausdorff Distance,,6.44669465018605,
cortexode,,207123,gm,lh,0,90,Self-Intersections (SIF),,88,294400
cortexode,,209228,gm,lh,0,90,Chamfer Distance,,5.304163783230662,
cortexode,,209228,gm,lh,0,90,Hausdorff Distance,,6.808957991174625,
cortexode,,209228,gm,lh,0,90,Self-Intersections (SIF),,1204,257060
cortexode,,268749,gm,lh,0,90,Chamfer Distance,,5.219162110200905,
cortexode,,268749,gm,lh,0,90,Hausdorff Distance,,7.11571532388205,
cortexode,,268749,gm,lh,0,90,Self-Intersections (SIF),,1711,297924
cortexode,,209935,gm,lh,0,90,Chamfer Distance,,5.426539119063451,
cortexode,,209935,gm,lh,0,90,Hausdorff Distance,,6.628578696078922,
cortexode,,209935,gm,lh,0,90,Self-Intersections (SIF),,550,262668
cortexode,,210011,gm,lh,0,90,Chamfer Distance,,4.997700552299741,
cortexode,,210011,gm,lh,0,90,Hausdorff Distance,,7.836515440567702,
cortexode,,210011,gm,lh,0,90,Self-Intersections (SIF),,247,263460
cortexode,,270332,gm,lh,0,90,Chamfer Distance,,5.118712668278757,
